,BlockName,Category,CreatedOn,Crop,DistrictName,KCCAns,QueryText,QueryType,Season,Sector,StateName
714,SIROHI                                            ,Fruits,2017-06-17 06:53:55.830,Custard Apple,SIROHI,SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 1.5 GM PER 15 LITER WATER,TELL ME CONTROL OF BACTERIAL BLIGHT DISEASE IN CITRUC,	Plant Protection	,KHARIF,HORTICULTURE,RAJASTHAN
715,ABU ROAD                                          ,Others,2017-06-17 08:43:10.873,Others,SIROHI,NO RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
716,SIROHI                                            ,Others,2017-06-17 11:47:31.923,Others,SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
717,REODAR                                            ,Others,2017-06-17 16:08:15.733,Others,SIROHI,RAIN POSSIBILITY IN NEXT 5 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
718,PINDWARA                                          ,Vegetables,2017-06-17 16:18:16.720,Tomato,SIROHI,"VARIETY OF TOMATO= PUSA GOURAV, PUSA SADABAHAR, PUSA ROHINI, P H 8",TELL ME VARIETY OF TOMATO,Seeds and Planting Material,KHARIF,HORTICULTURE,RAJASTHAN
719,SHEOGANJ                                          ,Others,2017-06-17 19:50:47.260,Others,SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
720,SIROHI                                            ,Fruits,2017-06-17 21:29:21.443,Papaya,SIROHI,RAIN POSSIBILITY UPTO NEXT 2-3 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,HORTICULTURE,RAJASTHAN
721,PINDWARA                                          ,Medicinal and Aromatic Plants,2017-06-18 07:12:09.873,Neem,SIROHI,SPRAY OF COPPER OXICHLORIDE 3 GM PER LITER WATER,TELL ME FUNGES CONTROL OF NEEM,	Plant Protection	,KHARIF,HORTICULTURE,RAJASTHAN
722,SIROHI                                            ,Vegetables,2017-06-18 15:54:40.253,Bhindi(Okra/Ladysfinger),SIROHI,SPRAY OF TRIZOPHOS 40% EC 2 ML PER LITER WATER,TELL ME CONTROL OF FUIRT BORER IN BHINDI,	Plant Protection	,KHARIF,HORTICULTURE,RAJASTHAN
723,SHEOGANJ                                          ,Others,2017-06-18 19:47:05.873,Others,SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
724,REODAR                                            ,Pulses,2017-06-19 12:09:01.743,Black Gram (urd bean),SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
725,SHEOGANJ                                          ,Others,2017-06-19 20:44:02.837,Others,SIROHI,RAIN POSSIBILITY IN NEXT 5 DAYS AND CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
726,REODAR                                            ,Others,2017-06-20 13:53:46.403,Others,SIROHI,RAIN POSSIBILITY IN NEXT 5 DAYS AND CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
727,SIROHI                                            ,Fruits,2017-06-20 14:13:44.337,Citrus,SIROHI,SPRAY OF COPPER OXICHLORIDE 45 GM + STREPTOCYCLIN 2 GM PER 15 LITER WATER,TELL ME CONTROL OF BACTERIAL BLIGHT DISEASE IN CITRUS ?,	Plant Protection	,KHARIF,HORTICULTURE,RAJASTHAN
728,SHEOGANJ                                          ,Others,2017-06-20 14:26:04.043,Others,SIROHI,RAIN POSSIBILITY IN NEXT 5 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
729,SHEOGANJ                                          ,Others,2017-06-20 14:27:14.950,Others,SIROHI,RAIN POSSIBILITY IN NEXT 5 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
730,REODAR                                            ,Others,2017-06-20 16:05:28.490,Others,SIROHI,RAIN POSSIBILITY IN NEXT 5 DAYS BUT CLOUDY SKY,TELL ME WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
731,PINDWARA                                          ,Others,2017-06-20 18:19:57.477,Others,SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS AND CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
732,SIROHI                                            ,Oilseeds,2017-06-20 19:46:27.803,Groundnut (pea nut/mung phalli),SIROHI,"VARIETY OF GROUNDNUT = GG 20, HNG 10, M 13, TG 37 A",TELL ME VAREITY OF GROUNDNUT ?,Varieties,KHARIF,AGRICULTURE,RAJASTHAN
733,PINDWARA                                          ,Others,2017-06-21 06:46:15.970,Others,SIROHI,LIGHT RAIN MAY BE AFTER 2 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
734,SHEOGANJ                                          ,Pulses,2017-06-21 11:40:42.200,Green Gram (Moong Bean/ Moong),SIROHI,RAIN POSSIBILITY IN NEXT 3-4 DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
735,SIROHI                                            ,Others,2017-06-21 12:00:09.567,Others,SIROHI,LIGHT RAIN MAY BE NEXT 2-3 DAYS,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
736,REODAR                                            ,Others,2017-06-21 15:04:02.257,Others,SIROHI,RAIN POSSIBILITY IN NEXT  3-4  DAYS BUT CLOUDY SKY,TELL ME ABOUT WEATHER INFORMATION ?,Weather,KHARIF,AGRICULTURE,RAJASTHAN
